dataset,n,R,metodo,tiempo
densidad-alta,0,0.0,FB,0.00194
densidad-alta,1,0.5,FB,0.002195
densidad-alta,2,1.5,FB,0.002074
densidad-alta,3,3.0,FB,0.002029
densidad-alta,4,5.0,FB,0.002835
densidad-alta,5,7.5,FB,0.00299
densidad-alta,6,10.5,FB,0.00381
densidad-alta,7,14.0,FB,0.004679
densidad-alta,8,18.0,FB,0.008819
densidad-alta,9,22.5,FB,0.013337
densidad-alta,10,27.5,FB,0.025151
densidad-alta,11,33.0,FB,0.052578
densidad-alta,12,39.0,FB,0.105807
densidad-alta,13,45.5,FB,0.177158
densidad-alta,14,52.5,FB,0.279818
densidad-alta,15,60.0,FB,0.592699
densidad-alta,16,68.0,FB,1.42384
densidad-alta,17,76.5,FB,2.92858
densidad-alta,18,85.5,FB,4.77033
densidad-alta,19,95.0,FB,10.6647
densidad-alta,20,105.0,FB,20.5785
densidad-alta,21,115.5,FB,39.2382
densidad-alta,22,126.5,FB,74.9018
densidad-alta,23,138.0,FB,145.726
densidad-alta,24,150.0,FB,282.451
densidad-alta,25,162.5,FB,569.76
densidad-alta,26,175.5,FB,1132.07
densidad-alta,27,189.0,FB,2257.37
densidad-alta,28,203.0,FB,4653.94
densidad-alta,29,217.5,FB,9328.46
densidad-baja,0,1.0,FB,0.002041
densidad-baja,1,2.0,FB,0.002087
densidad-baja,2,3.0,FB,0.002009
densidad-baja,3,4.0,FB,0.002437
densidad-baja,4,5.0,FB,0.002564
densidad-baja,5,6.0,FB,0.002837
densidad-baja,6,7.0,FB,0.003982
densidad-baja,7,8.0,FB,0.005112
densidad-baja,8,9.0,FB,0.008157
densidad-baja,9,10.0,FB,0.0135
densidad-baja,10,11.0,FB,0.028699
densidad-baja,11,12.0,FB,0.047621
densidad-baja,12,13.0,FB,0.092515
densidad-baja,13,14.0,FB,0.186421
densidad-baja,14,15.0,FB,0.365619
densidad-baja,15,16.0,FB,0.726862
densidad-baja,16,17.0,FB,1.45471
densidad-baja,17,18.0,FB,2.96028
densidad-baja,18,19.0,FB,5.82828
densidad-baja,19,20.0,FB,11.4859
densidad-baja,20,21.0,FB,20.4318
densidad-baja,21,22.0,FB,38.523
densidad-baja,22,23.0,FB,77.4041
densidad-baja,23,24.0,FB,149.011
densidad-baja,24,25.0,FB,296.682
densidad-baja,25,26.0,FB,589.665
densidad-baja,26,27.0,FB,1172.26
densidad-baja,27,28.0,FB,2369.67
densidad-baja,28,29.0,FB,4722.14
densidad-baja,29,30.0,FB,9679.98
mejor-caso-bt,0,1.0,BT-F,0.001983
mejor-caso-bt,1,2.0,BT-F,0.002479
mejor-caso-bt,2,3.0,BT-F,0.002216
mejor-caso-bt,3,4.0,BT-F,0.002479
mejor-caso-bt,4,5.0,BT-F,0.002482
mejor-caso-bt,5,6.0,BT-F,0.002376
mejor-caso-bt,6,7.0,BT-F,0.002726
mejor-caso-bt,7,8.0,BT-F,0.003052
mejor-caso-bt,8,9.0,BT-F,0.002916
mejor-caso-bt,9,10.0,BT-F,0.003089
mejor-caso-bt,10,11.0,BT-F,0.003063
mejor-caso-bt,11,12.0,BT-F,0.003216
mejor-caso-bt,12,13.0,BT-F,0.003886
mejor-caso-bt,13,14.0,BT-F,0.003373
mejor-caso-bt,14,15.0,BT-F,0.003988
mejor-caso-bt,15,16.0,BT-F,0.003553
mejor-caso-bt,16,17.0,BT-F,0.003696
mejor-caso-bt,17,18.0,BT-F,0.003888
mejor-caso-bt,18,19.0,BT-F,0.004872
mejor-caso-bt,19,20.0,BT-F,0.004409
mejor-caso-bt,20,21.0,BT-F,0.004498
mejor-caso-bt,21,22.0,BT-F,0.00475
mejor-caso-bt,22,23.0,BT-F,0.005266
mejor-caso-bt,23,24.0,BT-F,0.005933
mejor-caso-bt,24,25.0,BT-F,0.00625
